local,ultimo_mes_pagado,ultimo_mes_pagado_raw,payment_status,recibo,receipt_date,category,path
FL-05,2025-06,2025-06,COMPLETO,,2025-07-03,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01139 MARIA S, GONCALVES GT JUNIO 2025 .docx"
FL-03,2025-06,2025-06,COMPLETO,,2025-07-03,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01140 JOSE E, DA ENCARNECAO GT JUNIO 2025 .docx"
FL-02,2025-06,2025-06,COMPLETO,,2025-07-04,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01148 ROSA I, ATOPO GT JUNIO 2025 .docx"
F-35,2025-06,2025-06,COMPLETO,,2025-08-05,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01301 WILMER J, MARTINEZ GT ABRIL A JUNIO 2025.docx"
F-34,2025-06,2025-06,COMPLETO,,2025-08-05,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01301 WILMER J, MARTINEZ GT ABRIL A JUNIO 2025.docx"
F-32,2025-06,2025-06,COMPLETO,,2025-08-05,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01300 YUDIS M, AYALA GT ABRIL A JUNIO 2025.docx"
F-20,2025-06,2025-06,COMPLETO,,2025-10-04,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01851 MICHELL G, OROPEZA GT ABR A JUNIO 2025.docx"
E-26,2025-06,2025-06,COMPLETO,,2025-08-06,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01332 FRANCISCA E, MEDINA GT AGOSTO 2024 A JUNIO 2025 .docx"
E-18,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01266 YESSIKA A, MARTURER GT JUNIO 2025 .docx"
DM-34,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-33,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-32,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-31,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-30,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-29,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-28,2025-06,2025-06,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01507 RICARDO, GONZALEZ GT ABRIL A JUNIO 2025.docx"
DM-27,2025-06,2025-06,COMPLETO,,2025-09-04,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01516 MARTHA E, PEÑA GT ABRIL A JUNIO 2025.docx"
DM-26,2025-06,2025-06,COMPLETO,,2025-09-04,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01516 MARTHA E, PEÑA GT ABRIL A JUNIO 2025.docx"
DM-25,2025-06,2025-06,COMPLETO,,2025-09-04,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01516 MARTHA E, PEÑA GT ABRIL A JUNIO 2025.docx"
DM-24,2025-06,2025-06,COMPLETO,,2025-09-04,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01516 MARTHA E, PEÑA GT ABRIL A JUNIO 2025.docx"
DM-23,2025-06,2025-06,COMPLETO,,2025-09-04,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01516 MARTHA E, PEÑA GT ABRIL A JUNIO 2025.docx"
DM-04,2025-06,2025-07,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01511 ANGELINA M, RIZQUEZ GC MARZO A JULIO 2025 DM-03 Y DM 04 - 100%.docx"
DM-03,2025-06,2025-07,COMPLETO,,2025-09-03,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01511 ANGELINA M, RIZQUEZ GC MARZO A JULIO 2025 DM-03 Y DM 04 - 100%.docx"
D-25,2025-06,2025-06,COMPLETO,,2025-08-06,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01302 BLANCA R, CORDOVA GT MAYO Y JUNIO 2025.docx"
D-24,2025-06,2025-06,COMPLETO,,2025-08-06,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01302 BLANCA R, CORDOVA GT MAYO Y JUNIO 2025.docx"
D-23,2025-06,2025-06,COMPLETO,,2025-07-10,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01171 ALBA M, MESINO GT MAYO Y JUNIO 2025.docx"
D-22,2025-06,2025-06,COMPLETO,,2025-07-10,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01171 ALBA M, MESINO GT MAYO Y JUNIO 2025.docx"
CM-06,2025-06,2025-06,COMPLETO,1,2025-10-01,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01707 JOSEFINA, RIGGI GT FEB A JUNIO 2025 .docx"
C-22,2025-06,2025-06,COMPLETO,1836,2025-10-23,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01836 CESIDIO, NUNES   GASTOS COMUNES RESTANTE AGOSTO Y EL RESTO HASTA JUNIO    2025 - 100%.docx"
C-21,2025-06,2025-06,COMPLETO,1836,2025-10-23,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01836 CESIDIO, NUNES   GASTOS COMUNES RESTANTE AGOSTO Y EL RESTO HASTA JUNIO    2025 - 100%.docx"
C-20,2025-06,2025-06,COMPLETO,1836,2025-10-23,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01836 CESIDIO, NUNES   GASTOS COMUNES RESTANTE AGOSTO Y EL RESTO HASTA JUNIO    2025 - 100%.docx"
C-17,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01267 MIGUEL A, TORRES  GT JUNIO 2025 .docx"
C-16,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01267 MIGUEL A, TORRES  GT JUNIO 2025 .docx"
C-15,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01267 MIGUEL A, TORRES  GT JUNIO 2025 .docx"
C-14,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01267 MIGUEL A, TORRES  GT JUNIO 2025 .docx"
C-06,2025-06,2025-06,COMPLETO,,2025-07-21,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01222 ANTHONNY Y, HERNANDEZ GT ABRIL A JUNIO 2025.docx"
C-05,2025-06,2025-06,COMPLETO,,2025-07-21,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01222 ANTHONNY Y, HERNANDEZ GT ABRIL A JUNIO 2025.docx"
C-04,2025-06,2025-06,COMPLETO,,2025-07-21,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01222 ANTHONNY Y, HERNANDEZ GT ABRIL A JUNIO 2025.docx"
BM-23,2025-06,2025-06,COMPLETO,,2025-08-06,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01308 MARIA A, MACHADO GASTOS COMUNES ABRIL A JUNIO 2025.docx"
BM-22,2025-06,2025-07,COMPLETO,,2025-08-13,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01394 JIMMY W, LUISE GT MARZO A JULIO 2025 .docx"
B-46,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01269 JUDITH G, MORENO GT ABRIL A JUNIO 2025 .docx"
B-45,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01269 JUDITH G, MORENO GT ABRIL A JUNIO 2025 .docx"
B-44,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01269 JUDITH G, MORENO GT ABRIL A JUNIO 2025 .docx"
B-43,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01269 JUDITH G, MORENO GT ABRIL A JUNIO 2025 .docx"
B-42,2025-06,2025-06,COMPLETO,,2025-07-09,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01269 JUDITH G, MORENO GT ABRIL A JUNIO 2025 .docx"
B-14,2025-06,2025-06,COMPLETO,,2025-10-04,GC,"2025/OCTUBRE 2025/RECIBO DE PAGO Nº 01851 MICHELL G, OROPEZA GT ABR A JUNIO 2025.docx"
AM-17,2025-06,2025-06,COMPLETO,,2025-08-29,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01486 JOSE M, HERNANDEZ GT JUNIO 2025 - 100%.docx"
AM-16,2025-06,2025-06,COMPLETO,,2025-08-29,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01486 JOSE M, HERNANDEZ GT JUNIO 2025 - 100%.docx"
AM-15,2025-06,2025-06,COMPLETO,,2025-08-29,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01486 JOSE M, HERNANDEZ GT JUNIO 2025 - 100%.docx"
AM-14,2025-06,2025-06,COMPLETO,,2025-08-29,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01486 JOSE M, HERNANDEZ GT JUNIO 2025 - 100%.docx"
AM-13,2025-06,2025-06,COMPLETO,,2025-08-29,GC,"2025/AGOSTO 2025/RECIBO DE PAGO Nº 01486 JOSE M, HERNANDEZ GT JUNIO 2025 - 100%.docx"
S-51,2025-05,2025-05,COMPLETO,,2025-05-08,MIXED,"2025/MAYO 2025/RECIBO DE PAGO Nº 00785 EVA, NUÑEZ LOCKER ENERO A MAYO 2025.docx"
S-39,2025-05,2025-05,COMPLETO,,2025-06-02,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00958 MAIRA B, FARIAS DEPOSITO S-39 GC ABRIL Y MAYO  2025-100% .docx"
HM-16,2025-05,2025-05,COMPLETO,,2025-07-02,GC,"2025/JULIO 2025/RECIBO DE PAGO Nº 01128 CARMEN, VILORIA GT FEBRERO A MAYO 2025.docx"
GM-28,2025-05,2025-05,COMPLETO,,2025-11-07,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 02036 MARIELA, RODRIGUEZ GT MAYO 2025.docx"
FL-04,2025-06,2025-06,COMPLETO,,2025-06-06,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00983 LUIS R, DUQUE GT ABRIL Y MAYO 2025.docx"
D-41,2025-05,2025-05,COMPLETO,0,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00996 ORLANDO, BONALDY GT ENERO A MAYO 2025.docx"
D-40,2025-05,2025-05,COMPLETO,0,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00996 ORLANDO, BONALDY GT ENERO A MAYO 2025.docx"
D-39,2025-06,2025-06,COMPLETO,0,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00996 ORLANDO, BONALDY GT ENERO A MAYO 2025.docx"
D-38,2025-06,2025-06,COMPLETO,0,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00996 ORLANDO, BONALDY GT ENERO A MAYO 2025.docx"
D-37,2025-05,2025-05,COMPLETO,0,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00996 ORLANDO, BONALDY GT ENERO A MAYO 2025.docx"
D-35,2025-05,2025-05,COMPLETO,,2025-06-03,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00960 CARMEN J, MARIN GT FEBRERO A MAYO 2025.docx"
B-26,2025-06,2025-06,COMPLETO,,2025-06-09,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 01079 ELEOCTINES , PIERLUSSI GT AGOSTO 2024 A MAYO 2025.docx"
SO-42,2025-04,2025-04,COMPLETO,,2025-05-09,MIXED,"2025/MAYO 2025/RECIBO DE PAGO Nº 00791 CESIDIO, NUNES DEPOSITO SO-42.docx"
HM-11,2025-04,2025-04,COMPLETO,,2025-11-28,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 02058 LESBIA T, ARIAS GT ABRIL 2025.docx"
H-20,2025-04,2025-04,COMPLETO,,2025-11-28,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 02058 LESBIA T, ARIAS GT ABRIL 2025.docx"
H-19,2025-04,2025-04,COMPLETO,,2025-11-28,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 02058 LESBIA T, ARIAS GT ABRIL 2025.docx"
F-40,2025-04,2025-04,COMPLETO,,2025-05-28,GC,2025/MAYO 2025/RECIBO DE PAGO Nº 00914 MAGALY MERCEDES GASTOS COMUNES DICIEMBRE A ABRIL 2025 .docx
E-19,2025-06,2025-06,COMPLETO,1579,2025-09-12,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01579 LISMAR C, BLANCO GC MARZO Y ABRIL 2025 - 100%.docx"
B-32,2025-06,2025-06,COMPLETO,1579,2025-09-12,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01579 LISMAR C, BLANCO GC MARZO Y ABRIL 2025 - 100%.docx"
SO-49,2025-03,2025-03,COMPLETO,,2025-11-07,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 02043 FRANCISCO J, ARIAS GT MARZO 2025.docx"
S-38,2025-03,2025-03,COMPLETO,,2025-04-15,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00658 RICARDO, GONZALEZ GT MARZO 2025 S-38 DEPOSITO.docx"
J-10,2025-04,2025-04,COMPLETO,,2025-05-04,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00811 KATTY C, ROJAS GT FEBRERO Y MARZO 2025.docx"
G-21,2025-03,2025-03,COMPLETO,,2025-09-08,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01591 FILOMENA, PUIG GT MARZO 2025.docx"
FL-11,2025-04,2025-04,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00805 GLAYDE M, CONDE GT MARZO 2025.docx"
FL-09,2025-04,2025-04,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00805 GLAYDE M, CONDE GT MARZO 2025.docx"
FL-07,2025-04,2025-04,COMPLETO,,2025-05-16,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00842 DOUGLAS C, TORREALBA GT MARZO 2025.docx"
CM-33,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00777 ANA G, ARRAIZ GT MARZO 2025.docx"
CM-32,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00777 ANA G, ARRAIZ GT MARZO 2025.docx"
CM-31,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00776 GUSTAVO J, ARRAIZ GT MARZO 2025.docx"
CM-30,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00776 GUSTAVO J, ARRAIZ GT MARZO 2025.docx"
CM-29,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00776 GUSTAVO J, ARRAIZ GT MARZO 2025.docx"
CM-28,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00771 LUIS G, ARRAIZ GT MARZO 2025.docx"
CM-27,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00771 LUIS G, ARRAIZ GT MARZO 2025.docx"
CM-26,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00780 PATROCINIA, ECHEVERRIA GT MARZO 2025.docx"
CM-25,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00780 PATROCINIA, ECHEVERRIA GT MARZO 2025.docx"
CM-04,2025-04,2025-04,COMPLETO,0,2025-04-14,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00655 DANIEL E, RAMOS GASTOS COMUNES ENERO A MARZO 2025 14-04-2025.docx"
CM-03,2025-04,2025-04,COMPLETO,0,2025-04-14,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00655 DANIEL E, RAMOS GASTOS COMUNES ENERO A MARZO 2025 14-04-2025.docx"
AM-05,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00770 LILIANA E, GIL GT MARZO 2025.docx"
AM-04,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00770 LILIANA E, GIL GT MARZO 2025.docx"
AM-03,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00770 LILIANA E, GIL GT MARZO 2025.docx"
AM-02,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00770 LILIANA E, GIL GT MARZO 2025.docx"
AM-01,2025-04,2025-04,COMPLETO,,2025-05-07,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00770 LILIANA E, GIL GT MARZO 2025.docx"
L-04,2025-02,2025-02,COMPLETO,,2025-03-08,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00576 JOSE L, DA SILVA GT FEBRERO 2025.docx"
L-03,2025-02,2025-02,COMPLETO,,2025-03-08,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00575 JOSE G, JARDIN GT FEBRERO 2025.docx"
J-09,2025-02,2025-02,COMPLETO,0,2025-03-03,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00474 EVA, NUÑES GT DIC 2024 A FEBRERO 2025.docx"
HM-03,2025-04,2025-04,COMPLETO,,2025-03-06,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00550 CELIA, FERNANDEZ GT FEBRERO 2025.docx"
E-44,2025-02,2025-02,COMPLETO,,2025-04-06,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00664 MARIA E, COLINA GT AGOSTO 2024 A FEB 2025.docx"
E-06,2025-04,2025-04,COMPLETO,16,2025-09-01,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01666 FRANCISCO J, ARIAS GT FEBRERO 2025.docx"
D-34,2025-06,2025-06,COMPLETO,,2025-06-03,GC,"2025/JUNIO 2025/RECIBO DE PAGO Nº 00961 ADELINA E, NUÑEZ GT ENERO Y FEBRERO 2025.docx"
B-22,2025-02,2025-02,COMPLETO,,2025-04-06,GC,"2025/ABRIL 2025/RECIBO DE PAGO Nº 00664 MARIA E, COLINA GT AGOSTO 2024 A FEB 2025.docx"
A-20,2025-02,2025-02,COMPLETO,,2025-03-01,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00536 MARIA E, COLINA GT AGOSTO 2024 A FEB 2025.docx"
K-01,2025-05,2025-05,COMPLETO,,2025-05-09,MIXED,"2025/MAYO 2025/RECIBO DE PAGO Nº 00800 ANGELINA M ,RIZQUEZ GASTOS DE SANEAMIENTO.docx"
HM-25,2025-01,2025-01,COMPLETO,0,2025-03-10,GC,"2025/MARZO 2025/RECIBO DE PAGO Nº 00442 HORACIO A, FREITAS GT AGOSTO 2024 A ENERO 2025.docx"
HM-04,2025-01,2025-01,COMPLETO,,2025-05-09,MIXED,"2025/MAYO 2025/RECIBO DE PAGO Nº 00796 CARMEN M, PEREZ GASTOS DE SANEAMIENTO.docx"
H-12,2025-06,2025-06,COMPLETO,,2025-11-06,GC,"2025/NOVIEMBRE 2025/RECIBO DE PAGO Nº 01904 MICHELLE, FERNANDEZ GT SEPT 2024 A ENERO 2025 - 100%.docx"
G-09,2025-01,2025-01,COMPLETO,,2025-05-20,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00871 MARIA, PEREIRA GT AGOSTO 2024 A ENERO 2025 .docx"
F-23,2025-01,2025-01,COMPLETO,350,2025-02-25,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00350 JOAO A, FIGUEIRA GT ENERO 2025.docx"
B-38,2025-06,2025-06,COMPLETO,,2025-09-12,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01583 FRANCISCO J, ARIAS GT ENERO 2025.docx"
A-27,2025-01,2025-01,COMPLETO,385,2025-02-27,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00385 MARIBEL, ULLOA AGOSTO 2024 A ENERO 2025.docx"
A-25,2025-01,2025-01,COMPLETO,350,2025-02-25,GC,"2025/FEBRERO 2025/RECIBO DE PAGO Nº 00350 JOAO A, FIGUEIRA GT ENERO 2025.docx"
A-17,2025-04,2025-04,COMPLETO,,2025-09-12,GC,"2025/SEPTIEMBRE 2025/RECIBO DE PAGO Nº 01583 FRANCISCO J, ARIAS GT ENERO 2025.docx"
J-12,2024-12,2024-12,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00895 MERVIN D, ROJAS DIC 2024.docx"
J-11,2024-12,2024-12,COMPLETO,,2025-05-03,GC,"2025/MAYO 2025/RECIBO DE PAGO Nº 00895 MERVIN D, ROJAS DIC 2024.docx"
H-07,2025-04,2025-04,COMPLETO,150,2025-01-30,GC,"2025/ENERO 2025/RECIBO DE PAGO Nº 00150 ANGELA A, ABREU SEPT A DIC 2024 GASTOS COMUNES.docx"
H-06,2025-04,2025-04,COMPLETO,150,2025-01-30,GC,"2025/ENERO 2025/RECIBO DE PAGO Nº 00150 ANGELA A, ABREU SEPT A DIC 2024 GASTOS COMUNES.docx"
H-05,2025-04,2025-04,COMPLETO,151,2025-01-30,GC,"2025/ENERO 2025/RECIBO DE PAGO Nº 00151 JOAO M, NUNES SEPT A DIC 2024 GASTOS COMUNES.docx"
H-04,2025-04,2025-04,COMPLETO,151,2025-01-30,GC,"2025/ENERO 2025/RECIBO DE PAGO Nº 00151 JOAO M, NUNES SEPT A DIC 2024 GASTOS COMUNES.docx"
